53.1,42.4,134.9,255
54.,48.4,147.3,255
54.1,54.5,159.9,255
53.1,60.8,172.7,255
50.,67.4,185.6,255
43.5,74.4,198.7,255
31.9,82.7,211.7,255
15.1,91.8,221.4,255
3.,98.8,224.9,255
1.5,104.2,225.1,255
4.2,108.8,224.1,255
8.4,113.,222.3,255
12.7,116.9,220.3,255
16.,120.8,218.1,255
18.4,124.6,215.9,255
19.9,128.5,213.8,255
20.2,132.6,212.,255
19.1,137.1,210.7,255
16.3,142.,210.1,255
12.4,147.2,209.8,255
8.8,152.1,209.1,255
6.8,156.5,207.4,255
6.1,160.3,205.,255
5.9,163.7,201.8,255
5.8,166.6,198.1,255
6.8,169.4,194.,255
9.8,171.9,189.6,255
15.,174.4,185.,255
21.5,176.7,180.1,255
28.9,178.9,174.9,255
37.,181.,169.5,255
45.9,183.,163.8,255
55.5,184.9,157.9,255
66.,186.6,151.8,255
77.1,188.1,145.7,255
88.8,189.3,139.6,255
100.8,190.2,133.7,255
112.7,190.8,128.3,255
124.2,191.,123.4,255
135.2,191.,118.9,255
145.6,190.9,114.6,255
155.5,190.6,110.6,255
165.1,190.1,106.8,255
174.3,189.6,103.1,255
183.2,189.,99.6,255
191.9,188.3,96.1,255
200.4,187.6,92.6,255
208.7,186.8,89.2,255
216.9,186.1,85.7,255
225.,185.5,82.,255
233.1,185.1,78.1,255
241.,185.2,73.6,255
248.3,186.5,68.,255
253.4,190.1,61.3,255
254.8,195.2,55.2,255
253.9,200.4,50.1,255
251.9,205.7,45.7,255
249.6,210.9,41.6,255
247.3,216.3,37.6,255
245.5,222.,33.4,255
244.5,228.2,28.9,255
244.8,235.1,24.2,255
246.4,242.6,19.3,255
249.,250.7,13.7,255