30.05,0,0,255
75.34,45.43,45.43,255
102.23,64.25,64.25,255
123.39,78.7,78.7,255
141.41,90.87,90.87,255
157.39,101.59,101.59,255
171.89,111.29,111.29,255
185.25,120.21,120.21,255
195.42,131.98,128.51,255
200.63,148.97,136.3,255
205.71,164.21,143.68,255
210.67,178.15,150.69,255
215.51,191.08,157.39,255
220.25,203.19,163.82,255
224.89,214.62,170,255
229.43,225.46,175.97,255
233.89,233.89,185.43,255
238.26,238.26,201.27,255
242.55,242.55,215.96,255
246.77,246.77,229.71,255
250.92,250.92,242.69,255
255,255,255,255